stand_type,easting,northing,long,lat,stand_numbers
Sheffield Stand,316124.787,235370.489,-6.256678290250142,53.356029629863265,9
Sheffield Stand,315662.65,233624.961,-6.264252728555011,53.34045446519708,25
Sheffield Stand,315770.999,233693.485,-6.262601840219298,53.341046198723234,6
Sheffield Stand,315739.014,233726.14,-6.263069884039788,53.34134645915095,5
Sheffield Stand,315833.941,233986.018,-6.261550427899827,53.343659634099,3
Sheffield Stand,315637.422,233879.602,-6.264538399212122,53.342746871795,5
Sheffield Stand,315630.517,233803.386,-6.264669823939649,53.342063893329424,3
Sheffield Stand,315289.375,235584.016,-6.269141170204307,53.358129890185474,4
Sheffield Stand,315868.85,234926.08,-6.260682792081658,53.352094548403706,9
Sheffield Stand,313931.045,232887.606,-6.2905021030614705,53.33420758184258,6
Sheffield Stand,315606.332,233151.12,-6.265270607701229,53.33621125137108,6
Sheffield Stand,315740.665,233904.313,-6.262980049393571,53.3429462457621,3
Sheffield Stand,315740.055,233881.653,-6.262997478022234,53.34274287272825,9
Sheffield Stand,316263.399,232963.648,-6.255480542000752,53.33438379717292,11
Sheffield Stand,316126.494,232889.056,-6.257561926630699,53.333743924498016,4
Sheffield Stand,315648.998,233962.172,-6.2643345545613345,53.34348589446839,4
Sheffield Stand,315478.565,234017.851,-6.266871935683125,53.34402313050365,11
Sheffield Stand,315366.659,234387.057,-6.26841691079188,53.347363316094935,3
Sheffield Stand,315407.911,234296.329,-6.267830833603411,53.34653950992477,3
Sheffield Stand,315368.162,234093.089,-6.2685013747486185,53.34472289630585,3
Sheffield Stand,315456.42,234168.065,-6.26714954337317,53.34537701257979,6
Sheffield Stand,315080.56,234323.341,-6.2727339071340715,53.346853342714425,11
Sheffield Stand,316099.061,234495.898,-6.257385003875391,53.348180727572334,4
Sheffield Stand,314516.822,233895.639,-6.281349133326264,53.34313438655726,3
Sheffield Stand,314936.568,233729.506,-6.275110315809786,53.341551432641744,4
Sheffield Stand,314880.254,233918.668,-6.275886819565208,53.343262499794626,3
Sheffield Stand,314914.257,234453.035,-6.275182770111402,53.3480542282896,8
Sheffield Stand,315219.835,234774.644,-6.270479536995662,53.35087615929196,4
Sheffield Stand,315903.351,234940.202,-6.260159770025406,53.35221382405252,14
Sheffield Stand,315436.423,234093.586,-6.267476778545572,53.344712484946854,5
Sheffield Stand,315445.513,234090.954,-6.267341320760053,53.34468686579109,5
Sheffield Stand,315602.871,234198.01,-6.264940750801524,53.34561399533977,4
Sheffield Stand,315641.25,234185.215,-6.264369442556738,53.34549070575162,5
Sheffield Stand,315729.759,234124.785,-6.263063206095083,53.3449286574414,7
Sheffield Stand,315758.961,234202.699,-6.262596501181905,53.345622009559925,4
Sheffield Stand,315882.428,234222.287,-6.260736396173427,53.34577092309999,3
Sheffield Stand,316040.233,234365.381,-6.258315718908198,53.347021471276534,2
Sheffield Stand,313911.955,232889.735,-6.29078776119173,53.33423080739611,3
Sheffield Stand,315978.757,234270.012,-6.259273259559327,53.34617844559729,4
Sheffield Stand,315154.95,233849.174,-6.271789745416909,53.342578724178786,4
Sheffield Stand,314756.643,233871.286,-6.277758991771406,53.342863763865125,9
Sheffield Stand,315089.685,234112.463,-6.2726735439432355,53.344957484623144,4
Sheffield Stand,313620.631,234435.677,-6.294604616093049,53.348177495079646,3
Sheffield Stand,315349.455,234462.679,-6.268647583875699,53.348046216218634,6
Sheffield Stand,316589.477,233098.606,-6.250538588556886,53.335524170182026,4
Sheffield Stand,316737.287,233365.719,-6.248222511474401,53.33789050834846,4
Sheffield Stand,316747.602,233353.311,-6.248072306241399,53.33777680130156,6
Sheffield Stand,314962.874,234674.474,-6.274372751538388,53.350032398475996,4
Sheffield Stand,314734.224,234604.059,-6.27783012047926,53.349449602825075,6
Sheffield Stand,316521.965,233117.996,-6.2515444112396406,53.3357131619942,7
Sheffield Stand,314234.867,234996.798,-6.285183407820541,53.353084743008026,6
Sheffield Stand,315699.416,234468.328,-6.263393142695285,53.34802059873348,5
Sheffield Stand,315612.72,233119.977,-6.265186115223699,53.335930165642786,6
Sheffield Stand,315258.504,235633.978,-6.269586422090538,53.35858531535277,2
Sheffield Stand,315655.634,234523.334,-6.264030164959809,53.34852416437058,8
Sheffield Stand,316984.858,233275.145,-6.244541189716252,53.33702246602476,7
Sheffield Stand,316061.804,232572.865,-6.258648205651193,53.33091843383071,9
Stainless Steel Curved,317351.711,233904.027,-6.238803980981197,53.34258915701977,5
Stainless Steel Curved,317301.225,234208.039,-6.239449073254064,53.34533059627333,6
Stainless Steel Curved,317380.414,234171.302,-6.238274266530826,53.344983124371,12
Stainless Steel Curved,317533.24,234178.018,-6.235978290251846,53.34500954321775,12
Stainless Steel Curved,317535.205,234185.288,-6.2359461049008,53.34507439700891,12
Stainless Steel Curved,317387.459,234153.824,-6.2381750148592,53.34482459742962,12
Stainless Steel Curved,315647.646,233804.604,-6.2644123354646615,53.34207109212405,3
Stainless Steel Curved,317704.081,234106.733,-6.233440927576674,53.34433140918116,8
Stainless Steel Curved,317467.413,234173.004,-6.236968026443806,53.3449791192157,8
Sheffield Stand,314050.203,235327.753,-6.287836120700441,53.356096850576385,4
Sheffield Stand,315803.19,233890.945,-6.26204664211107,53.34281252197768,7
Sheffield Stand,315612.501,235021.986,-6.264495558403693,53.35301190648749,8
Sheffield Stand,313900.354,233736.23,-6.290657713821573,53.34183567404471,4
Sheffield Stand,314608.107,234416.675,-6.279790800322868,53.34779403261262,10
Sheffield Stand,315256.918,233915.567,-6.270235409716659,53.34315281239113,6
Sheffield Stand,315598.337,233182.223,-6.265379227935743,53.33649232847711,3
Sheffield Stand,314868.564,233884.686,-6.276074565686282,53.34295984563775,3
Sheffield Stand,313717.358,234209.605,-6.293233996342276,53.346126378894155,8
Sheffield Stand,316532.673,233341.264,-6.2513016908842305,53.33771593544699,5
Sheffield Stand,315652.815,233904.404,-6.264298352588834,53.342966254167145,13
Sheffield Stand,315450.914,234122.466,-6.267248786682884,53.34496869386177,4
Sheffield Stand,315662.887,234048.808,-6.264094507219209,53.34426092769424,5
Sheffield Stand,315879.927,234577.911,-6.260643877949736,53.34896527426559,5
Sheffield Stand,316414.144,233794.595,-6.25291371609856,53.341813281201816,5
Railing,315540.279,233419.773,-6.266163787753541,53.33863840389906,4
Railing,315437.593,234004.91,-6.267491519266796,53.34391584127304,4
