type_stands,X,Y,Easting,Northing,location_stand,no_stands
Sheffield Stand,-6.260206103,53.34439721,315921.787,234070.356,"College green, median",13
Sheffield Stand,-6.2726596,53.35032477,315076.477,234709.847,North king street,5
Sheffield Stand,-6.253476441,53.3323394,316402.783,232739.484,End of Adelaide road beside kiosk,4
Sheffield Stand,-6.250662804,53.33551714,316581.544,233097.698,Start of Fitzwilliam square north,4
Sheffield Stand,-6.261388958,53.34824573,315832.581,234496.708,"Middle abbey street,  outside independent house newspaper limited.",10
Sheffield Stand,-6.263314784,53.34790949,315705.252,234456.169,"Middle abbey street, outside austrailia travel.",5
Sheffield Stand,-6.241157055,53.33936646,317204.157,233541.615,Grand canal street lower,4
Sheffield Stand,-6.244124919,53.33894527,317007.641,233489.878,Mount street lower opposite new mount house,6
Sheffield Stand,-6.258493513,53.34681028,316029.285,234341.669,D'Oliver street,5
Sheffield Stand,-6.252858192,53.35146871,316391.857,234869.239,Foley street outside dance Irelamd,2
Stainless Steel Curved,-6.235854328,53.34555893,317540.3,234239.439,Blood stone road,4
Stainless Steel Curved,-6.24304533,53.34893742,317052.173,234603.592,Mayor square outside Snap and national college of Ireland.,12
Stainless Steel Curved,-6.263821721,53.34194797,315687.634,233791.936,"Fade street, outside the rage record store",3
Sheffield Stand,-6.255581975,53.33800839,316247.108,233366.911,Hume street,7
Sheffield Stand,-6.267700195,53.34936332,315409.302,234610.858,Wolfe tone street,5
Sheffield Stand,-6.26718387,53.34796313,315447.466,234455.876,Wolfe tone street outside AXA office,7
Railing,-6.261603534,53.34194076,315835.383,233794.729,Coppinger row ,4
Railing,-6.258242726,53.34913596,316039.668,234600.883,Saclville Place,7
Railing,-6.26198709,53.34380633,315804.783,234001.712,Trinity street,4
Sheffield Stand,-6.242224574,53.3428079,317123.625,233922.833,Pearce street opposite parser square,4
Sheffield Stand,-6.267755181,53.350079,315403.707,234690.411,Parnell street outside cineworld.,7
Sheffield Stand,-6.256624013,53.34880213,316148.363,234566.365,"Abbey Street Lower, outside Abbey Theatre.",11
Sheffield Stand,-6.255399585,53.34901748,316229.309,234592.322,Abbey Street Lower outside Beresford Court.,8
Sheffield Stand,-6.256809086,53.34580232,316144.193,234232.239,Pearce street and Townsend street,20
Sheffield Stand,-6.260926276,53.3398373,315886.191,233561.751,"Stephens green, in front of beneton shop",15
Sheffield Stand,-6.227487177,53.34842026,318089.587,234571.656,East wall road outside the O2 ,18
Sheffield Stand,-6.261851639,53.34615699,315807.433,234263.518,"Bedford row, beside Ladbrokes",4
Sheffield Stand,-6.2569727,53.35029835,316121.077,234732.301,Talbot Street outside Carrolls shop,4
Sheffield Stand,-6.259736717,53.34583434,315949.146,234231.045,"Fleet Street, outside TGI restaurant.",4
Sheffield Stand,-6.262689829,53.34607693,315751.832,234253.25,"Aston quay, outside house of colour",4
Sheffield Stand,-6.262397468,53.3327959,315807.281,232775.783,Harcourt street outside Starbucks ,17
Sheffield Stand,-6.269115061,53.33779779,315346.302,233321.534,"New bride street , Infront of small green",5
Sheffield Stand,-6.243086904,53.33666389,317083.026,233237.703,Mount street ctescent,7
Sheffield Stand,-6.254668683,53.34915197,316277.613,234608.478,Beresford Place median,3
Sheffield Stand,-6.266076118,53.33774334,315548.86,233320.387,Kevin's street outside o haras pharmacy,5
Sheffield Stand,-6.260073334,53.36081366,315886.087,235897.431,Dorset street outside gaa ticket office ,5
Sheffield Stand,-6.265628189,53.33737258,315579.697,233279.852,"Wexford street, Infront of mega bikes.",3
Sheffield Stand,-6.265334487,53.33563406,315603.961,233086.862,"Camden street lower, outside ulster bank",2
Sheffield Stand,-6.256683022,53.35602898,316124.787,235370.489,Mountjoy square south outside dit,9
Sheffield Stand,-6.26425758,53.34045385,315662.65,233624.961,"Noel Purcell Walk, Infront of beaux lane house",25
Sheffield Stand,-6.26260668,53.34104558,315770.999,233693.485,"Chatham road, outside Mao restaurant",6
Sheffield Stand,-6.263074726,53.34134584,315739.014,233726.14,"William street south, outside dada restautsnt",5
Sheffield Stand,-6.261555254,53.34365901,315833.941,233986.018,Saint Andrew street,3
Sheffield Stand,-6.264543235,53.34274625,315637.422,233879.602,"South George's street, outside Diwali",5
Sheffield Stand,-6.264674664,53.34206327,315630.517,233803.386,"George's street, outside Hogans pub",3
Sheffield Stand,-6.269145906,53.35812925,315289.375,235584.016,Berkeley road outside Berkeley wash,4
Sheffield Stand,-6.26068756,53.35209391,315868.85,234926.08,Cathal Brugha street outside the Irish aid office,9
