stand_type,easting,northing,long,lat,stand_numbers,geom,stand_location
Sheffield Stand,315713.001,232767.425,-6.263810120746305,53.33274204410335,4,"53.33274204410335, -6.263810120746305","Harcourt Centre, Harcourt Road, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 NP22, Éire / Ireland"
Sheffield Stand,315653.53,233456.05,-6.264451203586181,53.33893948825692,8,"53.33893948825692, -6.264451203586181","Crabbe Lane, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 AY81, Éire / Ireland"
Sheffield Stand,315979.91,234944.387,-6.259009095543843,53.35223464322097,4,"53.35223464322097, -6.259009095543843","Q-Park The Spire, Cathal Brugha Street, North City ED, Dublin, County Dublin, Leinster, D01 W207, Éire / Ireland"
Sheffield Stand,316249.955,234529.981,-6.255107814852698,53.34845371504521,2,"53.34845371504521, -6.255107814852698","Liberty Hall, Eden Quay, North City ED, Dublin, County Dublin, Leinster, D01 DX77, Éire / Ireland"
Sheffield Stand,316272.062,234784.303,-6.254682688023589,53.35073287942448,5,"53.35073287942448, -6.254682688023589","Holyhead Bed & Breakfast, Talbot Street, North City ED, Dublin, County Dublin, Leinster, D01 X8F8, Éire / Ireland"
Sheffield Stand,315808.438,233447.871,-6.262129757047611,53.33883218849054,10,"53.33883218849054, -6.262129757047611","Royal College of Surgeons in Ireland, St. Stephen's Green, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 VH98, Éire / Ireland"
Sheffield Stand,315725.365,233647.975,-6.263303238476975,53.34064745212996,5,"53.34064745212996, -6.263303238476975","5, Johnson Place, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NV08, Éire / Ireland"
Sheffield Stand,315602.964,233017.552,-6.265369837333495,53.335012427579144,4,"53.335012427579144, -6.265369837333495","Ebb and Flow, 71, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland"
Sheffield Stand,315541.409,235373.744,-6.265434346730889,53.356186514467076,2,"53.356186514467076, -6.265434346730889","Spencers Barber Shop, Blessington Street, Inns Quay B ED, Dublin, County Dublin, Leinster, D01 W2C9, Éire / Ireland"
Sheffield Stand,315954.82,235749.39,-6.25909096310684,53.359469729762125,3,"53.359469729762125, -6.25909096310684","Belvedere Stores, North Circular Road, Ballybough B ED, Dublin, County Dublin, Leinster, D01 C2F6, Éire / Ireland"
Sheffield Stand,315603.753,233036.565,-6.265351067824873,53.3351830089802,2,"53.3351830089802, -6.265351067824873","74, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland"
Sheffield Stand,315572.633,235085.282,-6.2650708914784,53.35358906341281,4,"53.35358906341281, -6.2650708914784","Parnell Square, Parnell Square North, Rotunda B ED, Dublin, County Dublin, Leinster, D01 E7C1, Éire / Ireland"
Sheffield Stand,316597.872,233802.573,-6.250153727780469,53.34184451497296,4,"53.34184451497296, -6.250153727780469","36, Fenian Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 KD51, Éire / Ireland"
Sheffield Stand,316218.377,232933.21,-6.256167189329433,53.33412031668855,3,"53.33412031668855, -6.256167189329433","5, Hatch Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 T380, Éire / Ireland"
Sheffield Stand,315379.955,234365.718,-6.268225130969486,53.34716877618497,3,"53.34716877618497, -6.268225130969486","Ephesus, 20, Capel Street, North City ED, Dublin, County Dublin, Leinster, D01 T927, Éire / Ireland"
Sheffield Stand,315514.049,234400.174,-6.266200063617764,53.34744898654523,3,"53.34744898654523, -6.266200063617764","T.P. Smith’s, 9-10, Jervis Street, North City ED, Dublin, County Dublin, Leinster, D01 XV66, Éire / Ireland"
Sheffield Stand,314655.905,234268.779,-6.2791269379214905,53.346455441307306,4,"53.346455441307306, -6.2791269379214905","Liffey Cycle Route, Smithfield, Arran Quay C ED, Dublin, Dublin 7, Leinster, D07 WNP2, Éire / Ireland"
Sheffield Stand,315407.616,234205.393,-6.2678683784189095,53.34572288887103,6,"53.34572288887103, -6.2678683784189095","Grattan Bridge, Liffey Cycle Route, North City ED, Dublin, County Dublin, Leinster, D02 YK79, Éire / Ireland"
Sheffield Stand,315454.422,234051.588,-6.2672219615262685,53.34433138229994,3,"53.34433138229994, -6.2672219615262685","4, Parliament Street, Temple Bar, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 AN28, Éire / Ireland"
Sheffield Stand,315442.813,234062.272,-6.267392288241759,53.344429864746786,2,"53.344429864746786, -6.267392288241759","Temple Bar, Liffey Boardwalk, North City ED, Dublin, County Dublin, Leinster, D02 YK79, Éire / Ireland"
Sheffield Stand,316080.042,234381.864,-6.257712225023957,53.347160777294214,4,"53.347160777294214, -6.257712225023957","4-5, Burgh Quay, Mansion House A ED, Dublin, County Dublin, Leinster, D02 F243, Éire / Ireland"
Sheffield Stand,313760.594,233358.334,-6.292890634810538,53.3384718247667,5,"53.3384718247667, -6.292890634810538","MISA, St James' Walk, Ushers F ED, Dublin, County Dublin, Leinster, D08 F2C5, Éire / Ireland"
Sheffield Stand,314782.725,234327.197,-6.277202461145828,53.346952615218214,7,"53.346952615218214, -6.277202461145828","14, Arran Quay, Arran Quay C ED, Dublin, County Dublin, Leinster, D07 HK38, Éire / Ireland"
Sheffield Stand,316836.853,233540.426,-6.2466641624397585,53.339437563877055,5,"53.339437563877055, -6.2466641624397585","37, Merrion Square East, South Dock ED, Dublin, County Dublin, Leinster, D01 VY60, Éire / Ireland"
Sheffield Stand,315201.19,234758.683,-6.27076519332872,53.35073687246519,3,"53.35073687246519, -6.27076519332872","El Patron, 4,6, North King Street, Inns Quay C ED, Dublin, County Dublin, Leinster, D07 PR5X, Éire / Ireland"
Sheffield Stand,315208.171,234743.431,-6.270665958708792,53.35059837701154,3,"53.35059837701154, -6.270665958708792","Citizens Information, North King Street, Inns Quay C ED, Dublin, County Dublin, Leinster, D07 PR5X, Éire / Ireland"
Sheffield Stand,316709.257,233276.846,-6.248675809668035,53.33709853398567,4,"53.33709853398567, -6.248675809668035","Fitzwilliam 27, Fitzwilliam Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 FN88, Éire / Ireland"
Sheffield Stand,315032.851,236021.338,-6.272833245649072,53.36211323786089,3,"53.36211323786089, -6.272833245649072","Phibsborough Shopping Centre, Phibsborough Road, Phibsborough, Cabra East A ED, Dublin, County Dublin, Leinster, D07 VH04, Éire / Ireland"
Sheffield Stand,315769.972,234484.486,-6.262328303223755,53.348150290238166,3,"53.348150290238166, -6.262328303223755","Arnotts, 12, Henry Street, North City ED, Dublin, County Dublin, Leinster, D01 F5P2, Éire / Ireland"
Sheffield Stand,315748.875,234466.501,-6.262651507337416,53.34799338168063,4,"53.34799338168063, -6.262651507337416","50, Middle Abbey Street, North City ED, Dublin, County Dublin, Leinster, D01 X8R2, Éire / Ireland"
Sheffield Stand,315872.375,234491.795,-6.260788717126107,53.34819353266148,4,"53.34819353266148, -6.260788717126107","69, Middle Abbey Street, North City ED, Dublin, County Dublin, Leinster, D01 X8R2, Éire / Ireland"
Sheffield Stand,316173.002,233473.523,-6.256650008813978,53.33898273432182,8,"53.33898273432182, -6.256650008813978","James Adam & Sons Ltd., 25-26, St. Stephen's Green, Dublin, County Dublin, Leinster, D02 EK82, Éire / Ireland"
Sheffield Stand,316274.198,233750.427,-6.255029975796287,53.34144735759552,3,"53.34144735759552, -6.255029975796287","Kildare House, Kildare Street, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland"
Sheffield Stand,316018.807,234595.293,-6.25855309818279,53.3490909674077,2,"53.3490909674077, -6.25855309818279","Moxy, Sackville Place, North City ED, Dublin, County Dublin, Leinster, D01 V0C7, Éire / Ireland"
Sheffield Stand,316082.686,233731.752,-6.257910662183377,53.34132164880325,6,"53.34132164880325, -6.257910662183377","One Molesworth Street, 1, Molesworth Street, Dublin, County Dublin, Leinster, D02 RF29, Éire / Ireland"
Sheffield Stand,316455.475,233800.154,-6.2522914531383185,53.3418541194156,4,"53.3418541194156, -6.2522914531383185","Lemonoyce, Lincoln Place, Mansion House A ED, Dublin, County Dublin, Leinster, D02 FR90, Éire / Ireland"
Sheffield Stand,316994.256,233285.541,-6.244396341969892,53.33711375471484,6,"53.33711375471484, -6.244396341969892","31, Mount Street Upper, South Dock ED, Dublin, County Dublin, Leinster, D02 PR89, Éire / Ireland"
Sheffield Stand,316937.438,233524.352,-6.24516078399341,53.33927101038816,3,"53.33927101038816, -6.24516078399341","UCD Perinatal Research Centre - temporarily closed, 65-66, Mount Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 FP40, Éire / Ireland"
Sheffield Stand,316350.291,234413.607,-6.253644651518467,53.34738654482056,2,"53.34738654482056, -6.253644651518467","George's Quay, Mansion House A ED, Dublin, County Dublin, Leinster, D02 YY95, Éire / Ireland"
Stainless Steel Curved,317356.514,233952.022,-6.238714134840791,53.343019123681216,5,"53.343019123681216, -6.238714134840791","Grand Canal Dock, Grand Canal Square, Dublin Docklands, South Dock ED, Dublin, County Dublin, Leinster, D02 HP83, Éire / Ireland"
Stainless Steel Curved,317364.508,233993.854,-6.23857868273766,53.34339303476559,4,"53.34339303476559, -6.23857868273766","Fresh, Grand Canal Square, Dublin Docklands, South Dock ED, Dublin, County Dublin, Leinster, D02 HP83, Éire / Ireland"
Stainless Steel Curved,317517.864,234167.385,-6.236212983493218,53.34491746339772,4,"53.34491746339772, -6.236212983493218","Six Hanover, Horse Fair, Dublin Docklands, South Dock ED, Dublin, County Dublin, Leinster, D02 YN22, Éire / Ireland"
Stainless Steel Curved,317052.491,234459.99,-6.243088842431728,53.34764834491976,4,"53.34764834491976, -6.243088842431728","Dublin North Wall Quay (Opp Spencer Hotel South), North Wall Quay, North Dock C ED, Dublin, County Dublin, Leinster, D01 E4X0, Éire / Ireland"
Stainless Steel Curved,317160.739,234302.639,-6.24152241844689,53.346211275038584,4,"53.346211275038584, -6.24152241844689","Amor Fati, Sir John Rogerson's Quay, South Dock ED, Dublin, County Dublin, Leinster, D02 XK09, Éire / Ireland"
Sheffield Stand,316432.892,233788.1,-6.25263476588359,53.341750829687925,3,"53.341750829687925, -6.25263476588359","5, Leinster Street South, Mansion House A ED, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland"
Sheffield Stand,315968.012,234985.276,-6.2591727142420766,53.35260446662991,5,"53.35260446662991, -6.2591727142420766","Telephone House, Britain Place, Rotunda A ED, Dublin, County Dublin, Leinster, D01 A7P8, Éire / Ireland"
Railing,317232.711,233369.431,-6.2407874381530295,53.337814433024114,4,"53.337814433024114, -6.2407874381530295","Clanwilliam House, Clanwilliam Court, South Dock ED, Dublin, County Dublin, Leinster, D02 TN83, Éire / Ireland"
Sheffield Stand,315602.924,232997.132,-6.265377881728348,53.33482904662242,5,"53.33482904662242, -6.265377881728348","Enable Ireland, 68, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland"
